season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,23,TSG Hoffenheim ,VfL Wolfsburg ,6,2,4,1,17,6,"118,32 km","111,91 km",448,450,310,316,138,134,69%,70%,50%,50%,48%,52%,15,21,20,15,5,1,4,3
13-14,23,Eintracht Frankfurt ,VfB Stuttgart ,2,1,0,1,13,13,"116,84 km","118,6 km",483,351,387,245,96,106,80%,70%,59%,41%,53%,47%,23,16,15,23,5,4,8,5
13-14,24,FC Schalke 04 ,TSG Hoffenheim ,4,0,2,0,24,10,"114,06 km","113,84 km",376,430,267,344,109,86,71%,80%,47%,53%,49%,51%,19,18,17,19,4,9,4,3
13-14,24,Bor. Mönchengladbach ,FC Augsburg ,1,2,1,1,15,19,"120,86 km","123,02 km",539,496,448,401,91,95,83%,81%,52%,48%,53%,47%,9,11,11,9,4,4,3,7
13-14,24,VfB Stuttgart ,Eintracht Braunschweig ,2,2,2,1,14,11,"110,03 km","113,45 km",416,273,283,175,133,98,68%,64%,60%,40%,49%,51%,17,15,15,15,2,5,11,6
13-14,24,Hannover 96 ,Bayer 04 Leverkusen ,1,1,1,1,19,10,"121,39 km","115,62 km",379,463,299,354,80,109,79%,76%,46%,54%,45%,55%,5,14,14,5,3,5,9,2
13-14,24,VfL Wolfsburg ,Bayern München ,1,6,1,1,12,18,115 km,"116,01 km",304,690,224,616,80,74,74%,89%,32%,68%,46%,54%,15,10,8,13,1,2,5,3
13-14,24,Hamburger SV ,Eintracht Frankfurt ,1,1,0,1,15,7,"111,94 km","113,81 km",582,362,493,256,89,106,85%,71%,61%,39%,55%,45%,15,12,11,15,1,1,3,3
13-14,24,1. FC Nürnberg ,Werder Bremen ,0,2,0,1,16,12,"120,57 km","119,66 km",560,298,427,187,133,111,76%,63%,66%,34%,49%,51%,17,11,10,17,1,1,5,2
13-14,24,SC Freiburg ,Borussia Dortmund ,0,1,0,0,10,12,"121,28 km","120,85 km",611,444,507,333,104,111,83%,75%,58%,42%,54%,46%,7,12,11,7,2,2,1,5
13-14,24,1. FSV Mainz 05 ,Hertha BSC ,1,1,0,0,16,12,"116,12 km","113,86 km",414,395,307,295,107,100,74%,75%,51%,49%,53%,47%,13,14,13,13,2,0,5,4
13-14,25,FC Augsburg ,FC Schalke 04 ,1,2,1,1,21,10,"118,63 km","119,53 km",404,340,315,260,89,80,78%,76%,55%,45%,64%,36%,14,23,22,12,0,2,12,6
13-14,25,Borussia Dortmund ,Bor. Mönchengladbach ,1,2,0,2,25,7,"126,27 km","118,3 km",596,459,490,354,106,105,82%,77%,57%,43%,44%,56%,12,11,11,12,6,1,8,3
13-14,25,Werder Bremen ,VfB Stuttgart ,1,1,0,0,10,16,"118,02 km","119,48 km",427,429,285,281,142,148,67%,66%,49%,51%,51%,49%,18,19,16,17,2,0,2,9
13-14,25,TSG Hoffenheim ,1. FSV Mainz 05 ,2,4,0,0,22,11,"116,86 km","117,28 km",396,424,258,293,138,131,65%,69%,49%,51%,51%,49%,16,15,15,16,0,2,11,1
13-14,25,Eintracht Braunschweig ,VfL Wolfsburg ,1,1,0,1,8,11,"118,77 km","116,44 km",247,562,140,439,107,123,57%,78%,32%,68%,49%,51%,15,22,21,14,2,0,3,4
13-14,25,Hertha BSC ,Hannover 96 ,0,3,0,0,16,7,"117,07 km","121,73 km",533,376,405,245,128,131,76%,65%,59%,41%,59%,41%,8,17,17,6,4,2,6,1
13-14,25,Bayern München ,Bayer 04 Leverkusen ,2,1,1,0,23,6,"113,92 km","117,16 km",824,209,742,136,82,73,90%,65%,78%,22%,47%,53%,11,18,18,11,2,5,12,6
