index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
73,13-14,9,Borussia Dortmund,Hannover 96,1,0,1,0,18,10,123.4,121.32,432,399,323,313,109,86,0.75,0.78,0.52,0.48,0.55,0.45,11,15,15,11,2,1,10,2
74,13-14,9,Bayern München,1. FSV Mainz 05,4,1,0,1,19,12,115.29,116.46,832,225,727,148,105,77,0.87,0.66,0.78,0.22,0.56,0.44,12,14,14,11,2,7,8,5
75,13-14,9,Werder Bremen,SC Freiburg,0,0,0,0,18,11,119.37,122.26,403,416,303,329,100,87,0.75,0.79,0.49,0.51,0.46,0.54,22,12,11,21,1,5,7,8
76,13-14,9,Eintracht Braunschweig,FC Schalke 04,2,3,1,1,14,15,121.3,119.79,292,630,212,542,80,88,0.73,0.86,0.32,0.68,0.51,0.49,13,21,18,13,4,2,1,9
77,13-14,9,Eintracht Frankfurt,1. FC Nürnberg,1,1,0,0,15,11,116.6,121.17,529,332,438,261,91,71,0.83,0.79,0.61,0.39,0.47,0.53,22,14,12,21,1,3,6,1
78,13-14,9,Hertha BSC,Bor. Mönchengladbach,1,0,1,0,5,13,120.7,117.73,422,558,323,467,99,91,0.77,0.84,0.44,0.56,0.52,0.48,15,14,13,13,3,3,7,5
79,13-14,9,Hamburger SV,VfB Stuttgart,3,3,1,2,22,9,115.67,116.62,521,467,448,390,73,77,0.86,0.84,0.53,0.47,0.56,0.44,17,12,11,16,4,2,10,0
80,13-14,9,FC Augsburg,VfL Wolfsburg,1,2,1,2,11,12,120.65,122.49,404,369,297,281,107,88,0.74,0.76,0.53,0.47,0.4,0.6,21,18,17,21,4,1,3,2
81,13-14,10,VfB Stuttgart,1. FC Nürnberg,1,1,1,1,10,7,118.52,121.55,500,306,400,227,100,79,0.8,0.74,0.61,0.39,0.53,0.47,11,15,15,11,4,3,2,4
82,13-14,10,Bayern München,Hertha BSC,3,2,1,1,13,10,117.04,120.48,647,313,549,231,98,82,0.85,0.74,0.67,0.33,0.47,0.53,10,13,13,10,3,2,4,5
83,13-14,10,FC Schalke 04,Borussia Dortmund,1,3,0,1,12,10,109.73,114.86,542,411,422,311,120,100,0.78,0.76,0.57,0.43,0.52,0.48,11,12,12,10,2,2,2,2
84,13-14,10,Bayer 04 Leverkusen,FC Augsburg,2,1,1,1,24,11,114.97,118.0,444,310,358,220,86,90,0.81,0.71,0.58,0.42,0.61,0.39,7,9,9,7,3,0,13,7
85,13-14,10,Hannover 96,TSG Hoffenheim,1,4,0,2,11,10,102.04,112.75,271,617,186,541,85,76,0.69,0.88,0.32,0.68,0.41,0.59,21,11,10,20,2,7,8,1
86,13-14,10,1. FSV Mainz 05,Eintracht Braunschweig,2,0,1,0,9,6,116.08,117.89,359,487,277,395,82,92,0.77,0.81,0.41,0.59,0.51,0.49,25,17,17,25,4,2,0,8
87,13-14,10,VfL Wolfsburg,Werder Bremen,3,0,1,0,19,8,115.3,118.23,423,373,341,270,82,103,0.81,0.72,0.53,0.47,0.55,0.45,12,17,15,12,6,3,5,4
88,13-14,10,SC Freiburg,Hamburger SV,0,3,0,1,9,17,115.58,114.5,455,348,357,259,98,89,0.78,0.74,0.57,0.43,0.51,0.49,14,12,12,14,2,1,4,4
89,13-14,10,Bor. Mönchengladbach,Eintracht Frankfurt,4,1,2,1,13,11,116.22,113.55,709,429,624,357,85,72,0.88,0.83,0.61,0.39,0.4,0.6,9,13,12,9,3,4,1,3
90,13-14,11,Borussia Dortmund,VfB Stuttgart,6,1,2,1,17,3,120.16,117.97,535,478,428,370,107,108,0.8,0.77,0.53,0.47,0.45,0.55,15,4,4,15,3,1,6,1
91,13-14,11,1. FC Nürnberg,SC Freiburg,0,3,0,0,21,14,119.85,124.26,482,336,401,248,81,88,0.83,0.74,0.6,0.4,0.52,0.48,10,15,15,10,4,1,9,5
92,13-14,11,TSG Hoffenheim,Bayern München,1,2,1,1,7,17,119.65,116.59,347,656,264,589,83,67,0.76,0.9,0.37,0.63,0.45,0.55,20,16,16,20,3,2,6,4
93,13-14,11,Hamburger SV,Bor. Mönchengladbach,0,2,0,1,17,8,119.96,120.15,547,526,459,441,88,85,0.84,0.84,0.52,0.48,0.52,0.48,12,12,12,11,0,2,7,2
94,13-14,11,Eintracht Braunschweig,Bayer 04 Leverkusen,1,0,0,0,17,17,118.39,113.47,327,453,255,371,72,82,0.78,0.82,0.43,0.57,0.49,0.51,12,21,20,11,5,4,4,4
95,13-14,11,Hertha BSC,FC Schalke 04,0,2,0,1,18,11,120.35,120.7,521,370,427,265,94,105,0.82,0.72,0.58,0.42,0.47,0.53,21,18,17,21,1,4,6,4
96,13-14,11,Eintracht Frankfurt,VfL Wolfsburg,1,2,1,1,10,10,114.13,117.44,442,393,338,297,104,96,0.76,0.76,0.54,0.46,0.42,0.58,14,16,15,13,4,1,8,1
97,13-14,11,FC Augsburg,1. FSV Mainz 05,2,1,1,0,19,11,125.42,121.07,511,330,424,254,87,76,0.83,0.77,0.61,0.39,0.48,0.52,13,21,19,13,1,2,6,3
98,13-14,11,Werder Bremen,Hannover 96,3,2,2,2,12,18,115.12,115.85,356,300,251,183,105,117,0.71,0.61,0.54,0.46,0.5,0.5,19,24,24,17,10,3,3,6
99,13-14,12,Hannover 96,Eintracht Braunschweig,0,0,0,0,19,7,111.28,115.98,421,319,318,210,103,109,0.76,0.66,0.57,0.43,0.46,0.54,27,16,15,27,0,1,6,2
100,13-14,12,Bayern München,FC Augsburg,3,0,2,0,23,7,119.19,123.8,737,263,675,207,62,56,0.92,0.79,0.72,0.28,0.56,0.44,12,11,10,12,0,4,9,4
101,13-14,12,FC Schalke 04,Werder Bremen,3,1,0,1,18,9,118.02,121.67,545,321,426,221,119,100,0.78,0.69,0.62,0.38,0.52,0.48,16,20,20,15,2,1,6,2
102,13-14,12,Bayer 04 Leverkusen,Hamburger SV,5,3,2,1,20,11,116.02,116.79,387,435,299,327,88,108,0.77,0.75,0.46,0.54,0.53,0.47,12,19,18,11,1,0,3,6
