,Date,Open,High,Low,Close,Adj Close,Volumn
709,2017-06-05,209.50,212.00,209.00,212.00,176.49,"21,457,000"
708,2017-06-06,210.50,211.50,210.50,210.50,175.24,"14,912,000"
707,2017-06-07,212.00,212.50,210.00,211.50,176.07,"29,514,000"
706,2017-06-08,212.00,213.00,211.50,213.00,177.32,"18,437,000"
705,2017-06-09,214.50,215.00,212.00,212.00,176.49,"31,774,000"
704,2017-06-12,207.00,210.00,207.00,207.50,172.74,"58,256,000"
703,2017-06-13,207.00,208.50,206.50,208.00,173.16,"43,566,000"
702,2017-06-14,208.50,209.50,206.00,207.00,172.33,"36,293,000"
701,2017-06-15,207.50,208.00,207.00,208.00,173.16,"17,748,000"
700,2017-06-16,207.50,212.00,207.00,211.50,176.07,"32,816,000"
699,2017-06-19,211.00,213.00,210.50,213.00,177.32,"15,632,000"
698,2017-06-20,215.00,218.00,214.50,216.50,180.24,"28,630,000"
697,2017-06-21,216.00,217.00,214.50,215.50,179.40,"44,789,000"
696,2017-06-22,217.00,218.00,216.50,218.00,181.49,"24,139,000"
695,2017-06-23,218.00,218.50,217.00,217.00,180.65,"39,621,000"
694,2017-06-26,212.00,215.00,212.00,215.00,184.95,"58,686,000"
693,2017-06-27,214.00,214.00,211.00,211.50,181.94,"43,269,000"
692,2017-06-28,209.50,210.00,208.00,208.50,179.36,"48,568,000"
691,2017-06-29,210.50,210.50,208.50,210.00,180.65,"26,019,000"
817,2017-06-30,206.50,208.50,206.50,208.50,179.36,"30,867,000"
690,2017-06-30,206.50,208.50,206.50,208.50,179.36,"30,867,000"
816,2017-07-03,207.50,209.00,207.00,209.00,179.79,"19,027,000"
815,2017-07-04,208.00,208.50,207.00,207.00,178.07,"21,132,000"
814,2017-07-05,207.00,208.50,206.50,208.50,179.36,"23,276,000"
813,2017-07-06,208.00,208.50,207.00,207.50,178.50,"15,242,000"
812,2017-07-07,207.00,207.50,205.50,206.00,177.21,"20,655,000"
811,2017-07-10,206.50,207.00,206.00,206.00,177.21,"13,292,000"
810,2017-07-11,208.00,212.00,207.50,212.00,182.37,"33,265,000"
809,2017-07-12,211.00,212.50,210.50,210.50,181.08,"26,426,000"
808,2017-07-13,212.00,216.00,211.50,214.50,184.52,"50,090,000"
